O95848 P28331
O09111 P47857
Q9R1Z0 P27782
Q7TPR4 P59017
Q8R3G1 P68371
Q9NWS0 Q9ULV4
Q6PDQ2 Q9DC69
Q02078 O08852
P43405 P04961
Q9DCT2 P62138
O43365 P05413
Q63617 P51965
Q9D0M3 Q969Q0
P60953 O60568
Q96IQ9 P51571
Q4KM74 Q99L13
P54296 Q86XF0
P63245 P51572
Q9Y678 P02545
P20674 P98082
P07384 P00505
P05413 P07237
Q5EE38 P13437
P0C0S8 Q71U36
Q9Y2T1 P07910
Q9P2M4 Q9Y3A5
P17931 Q8BKZ9
Q9UH99 Q92997
Q8C1D8 O14495
Q13509 P15923
P22087 P62703
Q05682 P52825
Q15691 Q86XF0
Q16594 P28841
P85834 P02533
O15273 Q3KR86
P00405 Q96I15
Q8CAK1 D3YXK2
P16332 Q9BSI4
P05044 P70056
P13437 Q15554
O15078 O88441
Q05CL8 Q9CQ54
Q8N9N8 P62269
Q8BH59 Q01853
P12235 O14640
Q63942 Q08857
Q0VBL3 P12864
Q9H2D6 Q91WS0
O60832 Q9Z2L0
P55055 Q9HAV7
Q9Y2T1 P03921
Q8N4X5 P42704
Q16678 P35280
Q16678 Q0ZGT2
P05413 Q8N9N5
O88291 O08852
P42932 P00505
Q9CQJ8 O95071
P62824 Q9CQQ7
Q9UNL2 Q14244
P07237 Q9NX09
Q9CQ69 Q14195
Q920B9 O15273
P00338 Q8WW12
Q6URK4 P62243
Q9DCZ4 Q02363
Q14008 Q66HD0
Q13813 Q9BUQ8
P23514 G3V9R8
Q92731 Q6PJW8
Q00438 P54313
P03888 Q63943
P35579 P70056
P53778 Q15084
Q9Z204 Q15785
Q9UEY8 Q8CHY6
Q6IMN6 Q96C57
P60123 Q9D8B4
Q68FR9 Q6NYC8
O75344 Q9Z2L0
P00505 P51637
Q61164 Q63610
P81155 Q6RUV5
Q5U4C3 Q8N3J5
Q9EQC9 Q9UGY1
O15460 Q96I15
Q9JLZ3 Q9H9G7
Q9H4G0 Q9H4Z2
P38650 P68400
Q58FF8 Q9Z204
Q61941 Q5M7U6
P59017 Q14693
O43294 P15999
P41542 P62632
Q9Y4L1 P55786
O00571 Q13467
P51572 P62804
P35704 P00414
P98082 D3YXK2
P49448 O43896
Q16635 P17302
Q8VHR5 Q9D172
Q99583 Q9NSD9
F1LQ48 P18596
Q68FR9 Q8N4X5
Q9H223 Q9JJF3
P21796 P21291
Q3KR86 Q9WU82
P35232 Q9QUR2
Q9BZL4 Q8CHY6
Q4KM74 P41516
Q6IFU8 P32089
Q2NKJ3 Q9DCJ5
P62804 O75143
Q15435 Q99J39
Q8CH25 Q9UNF0
Q8CH25 Q9D6J5
P06576 P29314
O35142 O88291
Q9Z204 Q921G7
P30533 P38060
P00338 O43290
P56959 Q9Y4L1
Q96IQ9 Q8TB37
P62917 P23242
P62271 Q9R1Z0
E9Q4Z2 P47858
Q96HR8 P51572
P70326 Q8IUZ5
Q13362 P54313
Q61029 P23381
Q76LL6 P18085
P22315 P61163
Q12955 P10037
Q9DCT2 P10037
Q9UDY4 Q9Z2Z6
Q9Y4L1 Q9NWX6
Q60972 Q8N4X5
Q9JJF3 Q91VD9
O88492 O88441
Q8N9N5 P59017
Q9NQC3 P56574
O88572 Q8IYT4
Q9D023 P62137
O43290 P06753
P04041 Q8R3G1
P23528 P58281
Q86VM9 Q91WS0
P12814 Q71DI3
Q07960 Q16778
Q9WTM5 P63012
Q02978 P19338
Q6Q788 Q63610
Q9NWV8 P06576
P01130 Q8WZ42
Q9P2M4 O00299
Q61473 P00338
O00482 P61589
P08670 Q66HD0
Q9DC71 Q9UKD2
P35610 Q86VM9
Q8BH59 Q60838
P46781 Q99697
Q60930 Q9CSN1
P07737 Q7Z4V5
Q60587 Q9DBR7
P13804 Q71UF4
Q15293 P11532
Q9BY11 Q61473
Q9DBD5 Q9DB15
Q03154 Q9Y3B4
P84586 Q13796
O60762 P31689
P62805 Q96A73
Q63470 P25705
Q93008 Q9JLZ3
P23526 P07237
O88291 Q92614
Q7Z4V5 Q923S8
Q8JZN5 P61964
Q9NZI7 P40939
P0C0S8 Q9D2N4
Q01995 P00414
Q07960 Q91WS0
Q91VC3 Q568Z4
Q9Y496 Q00438
Q62826 Q63932
P11103 Q9Z327
P62836 P56556
Q9Y305 Q9H477
P06454 Q9BPX5
Q91VD9 P39447
P23242 P49242
P15209 P48735
Q14749 Q8C176
Q9CQQ7 P30427
Q9HCC0 P49006
Q96IQ9 P04114
Q4KM74 O08629
Q9WTM5 O08852
P57081 P51787
P61354 Q9D172
P00505 P05369
Q6PDG5 Q9CQJ8
P16104 Q5VU43
Q4KM74 P28340
P04041 Q9BSI4
P63000 P54829
Q13347 P48962
Q9NX09 P16234
O54774 P99028
Q71UF4 P32551
P61981 Q8BMS1
Q08857 Q12905
P28289 Q9P0J0
P12787 Q9BUQ8
O75143 P36402
Q15369 Q8TE68
Q13330 P48735
P12956 Q16678
Q60932 P61589
P32119 P43244
Q80WJ7 Q00059
Q14C51 Q9NZI7
P30533 O08629
P23242 Q6P1E1
Q8TE68 Q6P1N9
O00338 Q15435
Q5JTV8 P23242
P09034 P50402
P43244 Q99068
P34913 D4A3K5
Q9BSI4 Q9UBW5
Q9UQ80 P05141
Q05682 Q9D8B4
P31689 O43852
O35142 E9Q4Z2
Q01813 Q9P2M4
P60122 Q63716
Q03135 O14246
Q63942 Q791V5
Q9DC69 Q8N3K9
P08238 P84082
P11103 Q96G03
Q3ULD5 P04642
Q8K3J1 P49418
P12814 Q9HCC0
P40939 P63000
P12830 P16086
P36871 Q62311
P12814 Q8CH25
Q8CAK1 Q13285
Q9JLZ3 P14923
Q9UGY1 P47934
P55084 Q16778
P62824 Q8VHV7
Q6PG37 Q8CFE4
Q9NPE3 Q9JLZ3
P62804 Q9UNL2
O43294 P85834
Q9H4G0 Q8C092
Q9D6J5 P03372
P12830 O54724
P38656 P68254
Q15293 Q05CL8
O14640 Q8IUZ5
O75154 Q00438
Q9DCZ4 Q7Z7B0
Q9UBB6 O15460
O15273 Q9CQ69
Q3UM45 P35738
Q8TE68 P54829
P13437 O75581
Q27J81 O75376
P11532 Q9CY66
Q13045 Q08857
O35509 P38060
P03911 P62805
P27816 Q96BK5
Q16698 P17844
D3ZHA0 Q99LC3
Q6PG37 P60953
Q6PG37 P23381
P0CG48 Q791V5
Q99MR8 P06753
Q8K3J1 P62993
Q96A73 P57081
P61982 O00308
P11352 P13804
O95154 P55084
Q8N9N8 Q29983
O60353 P32089
Q8JZN5 Q71U36
Q01978 P15999
O14495 Q9JIL3
Q9H668 Q9EQD0
P98082 Q63943
Q9D172 P28023
Q9Y3E1 P29474
P70566 Q8BJZ4
Q8BUY5 P61964
O70511 P51637
Q8CHT0 P04642
P61964 O70571
Q01978 Q63716
P32119 Q3UM45
Q9ULJ6 Q9CPQ8
Q9NZI2 Q13285
Q9CQA3 Q3ZCM7
O95197 P70566
Q8R0Y8 Q9UGY1
P16234 P11532
Q16778 Q9UDY4
Q9Y3B4 Q9HAV7
P13437 Q03426
P41516 Q13347
Q9UEY8 Q9H6I2
Q9HCC0 Q63470
Q01813 Q9CQA3
P07237 P14902
P19338 Q9CWD8
Q15369 P63012
Q91VL8 O09111
Q924X2 O00299
P21796 Q76LL6
P81155 Q5M7U6
P52825 Q01853
Q06831 P84092
B0BNA7 P85834
P16234 Q15084
Q78IK4 Q9D0K0
P40939 Q71UF4
Q9BXM0 Q60932
Q8IYT4 Q12800
P84092 Q8BMS1
Q92917 Q922D8
P22315 Q9UQ80
P11352 Q8R560
P12787 Q60838
Q9UKD2 P55084
P26038 Q9JJF3
P17844 Q9CQZ6
Q8R3G1 Q96JC1
O95835 Q8R3G1
Q12800 Q8WVJ2
Q8BJZ4 P41235
Q6VN20 P19783
P00395 P31749
Q13330 P51571
Q63617 Q06187
Q2NKJ3 P00558
Q9BT40 Q9CQJ8
Q99081 O15460
Q64337 P12235
Q16620 Q8CH25
Q9Y305 P23242
P98078 P18596
Q99LC3 O95848
P00568 O43852
P21796 Q15651
Q9D2N4 Q9HAV7
P23528 Q66HD0
Q02248 Q16678
Q15102 P42166
P08050 Q9DBD5
P16615 Q9P2R7
Q62812 P32551
Q9UPY8 Q92731
O35867 Q61473
P18596 O15085
Q02078 Q16620
P40939 Q8N5Z5
Q8IYT4 P25235
Q71DI3 P47857
P29474 P41235
Q9NX09 P49810
P47934 Q96PU8
Q15785 Q99583
Q8IVF7 Q61941
P35435 O00338
Q9BUR4 P01130
Q6URK4 P27816
Q9JIL3 Q9P2M4
Q07984 O88453
Q6Q788 P15178
Q07869 Q9Y223
Q14135 Q93008
P30999 O14495
P10809 B0BNA7
P32089 Q3ZCM7
Q6PHU5 Q9HCC0
Q9D6J5 O15460
O15105 P42765
Q9NP71 Q8CBY1
Q9H299 Q9R1Z0
O75781 P62805
Q14135 P07195
Q8WU90 P01130
Q6WCQ1 Q9NWS0
O95425 O08629
Q02780 Q96I15
Q92620 Q99LC3
Q921G7 Q9Y678
P23381 O43365
P27782 P16086
P02545 Q78IK4
Q9BRF8 P23242
Q8C176 P52825
A7VJC2 P67779
P97346 O43852
P12830 Q8R0F8
P06576 P54296
Q6NYC8 P18085
Q13510 Q9CQ54
P49448 P07237
P85834 Q9Y6Y0
P51571 Q02780
P09960 Q6PHU5
Q91WD5 Q96I15
Q96MG2 O35867
O00308 P68033
O00299 P13804
P60709 Q568Z4
Q9CQH3 Q9UNF0
P70056 Q9ESN9
O95848 Q9H6I2
Q9NWU2 P16332
Q9P0Z9 Q09028
Q9Y266 P01009
Q9NPE3 P35435
Q99959 Q924X2
Q15642 Q96MG2
Q9QUR2 Q15327
Q9Y3A5 P35610
P56945 Q9WTM5
Q80WJ7 Q9CQ54
Q9CQQ7 Q8IYT4
Q8BUY5 O43768
P0C0S8 P10860
Q9DBR7 P42704
Q9HCC0 P54296
Q8IUZ5 Q9NZB2
P09104 Q61164
Q63942 Q00438
P67779 Q9NWU2
Q9JLZ3 Q02780
Q03989 P23381
Q9CQJ8 Q96SB4
Q15121 Q6TYA9
P29692 P26038
Q8NBS9 Q9NX24
Q9Y618 P07332
P32551 Q14974
Q6TYA9 Q791V5
P11507 Q04750
P35609 Q91ZW3
Q9CQH3 Q922D8
Q92786 P63313
Q93008 P51571
Q15642 Q00059
Q96RU2 Q13347
P05132 P01009
P56959 P18596
P62318 Q99068
P58281 Q00981
P35241 Q00438
P51881 Q27J81
Q92731 Q9NVD7
Q9HCC0 Q91YD3
O70511 Q9Y3E1
P00558 P41516
Q96IQ9 Q15907
P60867 Q568Z4
P25235 Q9Y297
Q62812 Q8BKZ9
P07437 Q7Z4V5
Q9BZL4 P43244
P56574 Q9UQN3
Q9EQD0 O60716
Q13418 Q9CZ13
P12787 Q62311
P61981 Q8C092
Q9QXG9 B0BNA7
P36871 Q03135
Q62415 P38060
Q13362 Q06185
P48721 P12001
Q61091 P05132
Q9D023 Q9P2M4
Q3KR86 P10636
Q9HAW7 P41235
O60568 Q7TP98
Q6P1N9 Q08857
P46108 Q9UNL2
P68133 P49257
P60122 D3ZAR1
P62495 Q91WD5
P21796 Q6Q788
Q9UQN3 Q02078
Q9P291 Q96AP0
Q99996 Q13362
P15884 Q6IBS0
Q13023 Q9MZL5
O35245 O14678
P08050 Q9DBR7
Q99697 Q9EQP2
Q8N3J5 Q13045
O15372 Q9NX24
P46940 P00395
Q15554 Q9BR01
P84586 Q14749
Q9EPR5 P10809
P84586 Q8CH18
Q9CQQ7 Q9Y618
P00405 P17676
Q00577 P06732
Q9Y618 P42932
P35610 P27546
P54829 Q96FS4
O95071 Q9Y496
Q7TPR4 Q92786
P61009 P04075
Q60972 Q02566
Q8C176 O55143
Q07984 P23526
P11507 P62241
P55786 Q9CWD8
Q6NYC8 P06761
Q8R3G1 P35435
Q8R0Y8 Q9H299
O08579 P05091
Q01082 P56556
P17948 P15999
Q15369 Q8BK64
P26038 P47934
Q91WS0 O75385
Q09028 Q8N5Z5
P11530 Q99523
P35610 Q9HCC0
P68366 Q924X2
P29117 Q9BUQ8
O14746 Q3ULD5
P62919 P49736
P01130 Q15907
Q8R0Y8 Q03154
Q3UIU2 Q9NZB2
Q8R0N6 Q9UQ88
Q6P0K8 P62632
P30041 P42765
O75781 Q9D172
Q9DC69 P20393
P04961 O89112
P47756 Q00059
Q6TYA9 Q63932
Q99LC3 Q8IVW6
P48453 Q92917
Q9NQC3 Q96BK5
Q9UDY4 Q86VM9
O70239 P47934
Q9DC69 P05787
O88441 O14678
P09495 P52825
Q9BUQ8 Q8NBP7
Q99MR8 Q14980
Q9QUR2 O75376
Q15797 Q9HAW7
O14495 P11960
Q9Y3L3 Q06185
P16332 Q9EPR5
P59017 Q9DBD5
Q9NQG5 Q9BT40
P35738 P13861
Q13285 P39447
Q5U4C3 P29117
P05369 O14678
Q5JTV8 P14902
O70511 Q99814
Q5XIM9 P02545
Q9NY33 P63039
Q8C176 Q9QUR2
Q8K586 P49207
P07237 Q69Z38
P00395 P70313
P15924 P54829
P05413 P55084
P04114 Q8TAQ2
Q00059 Q6IBS0
Q15327 O35245
P21796 P00568
O88453 P25054
P23381 Q15435
Q05195 Q9UHB6
Q9Y618 Q8BMS1
O15372 Q96C57
P61980 P35738
P53680 Q60972
Q8VHV7 Q14247
Q13467 Q61315
O75385 O00479
Q9H4Z2 Q96JC1
Q9D023 O43566
Q5SUQ9 Q9BWD1
Q9DCZ4 P05044
Q15075 Q99L13
O15460 Q62261
Q9UHB6 Q61941
Q9Y618 P00395
P12236 Q61091
Q00059 P41208
Q6P1N9 P00325
Q9CQQ7 Q6URK4
Q02978 Q15678
Q8BG95 P35435
Q9DB15 P43405
Q8BJZ4 P50461
P00414 O43290
O75131 P40926
Q791V5 Q63355
Q05962 P62804
Q15651 P11507
Q9Y618 Q8TEW0
Q9CZ13 P20393
P25705 Q9QXG9
P27797 Q13467
P46783 Q9Y4L1
P16054 P00403
Q8R560 P27546
Q9CY66 P70566
Q78IK4 Q8N3K9
Q2NKJ3 Q00610
Q00438 Q13796
Q99697 P51637
P52825 O75131
Q8N9N5 P61589
P56959 Q3KR86
Q9NPH2 P11103
D3YXK2 Q07960
P46778 P00367
P63279 P59017
Q8JZN5 Q8N4X5
Q00610 Q61387
Q02078 P68032
P22315 P47809
P16546 O35144
P12830 P04075
O08808 Q9DC71
Q9CWD8 P13639
Q99583 P55084
P12368 Q60932
Q15075 Q9P0J0
O43768 Q9NZI7
P29474 P60122
Q3UIU2 P30533
Q6IMY8 P16036
P42680 P40615
P81155 P63000
P28562 P25705
P42680 O75593
Q9Z2D6 Q13509
P84082 P57081
Q9NZN9 Q16698
O13852 Q8BKZ9
Q03135 P50135
Q9Z2N8 P29474
P57081 Q63617
P62826 P51881
Q0VBL3 O14678
O43602 P60122
Q60587 Q8IYL3
Q9Z204 Q69Z38
O88441 Q13557
O88738 P28562
P20674 Q14524
Q92786 O00399
P05114 P10860
Q8IUX4 Q9HCC0
O95848 Q16594
Q08943 Q923S8
P61206 Q15554
P62328 P11103
D4A702 O15460
Q9CPQ8 Q00610
P55084 P17948
Q6PHU5 Q6P502
P16989 Q568Z4
Q99MR8 Q9H223
O15460 Q9H7D7
O70511 Q00438
P98161 Q9NSD9
Q61473 P62243
Q9WU82 Q60587
Q15369 Q3UIU2
Q9Y2X3 Q8BKZ9
Q09028 P62942
P19511 Q15366
Q9D0M3 Q15293
Q8BKZ9 O75821
Q91VC3 Q60930
P11960 Q8K2X3
P35435 Q61234
Q99523 P40925
P35280 P15923
P98161 Q9NRX4
D4A3K5 Q3ZCM7
Q8R560 O88738
Q9H3M7 Q9UNL2
Q9P0K7 Q9CZ13
O09111 Q64337
P62703 P48431
Q9Y4L1 P40925
Q96JY6 O09111
Q9D023 P08238
Q9CSN1 P06753
P23242 Q61164
Q9Y678 P43244
P20674 P62269
P28841 Q60597
O00267 Q6P6T4
P51637 Q07352
Q7Z4V5 P04114
Q924X2 P62269
Q00059 O70239
Q15293 Q96EK5
Q91WS0 P00813
Q15327 P61163
Q71UF4 Q8BK64
Q8BJZ4 P51150
O43776 Q8BMS1
P47934 Q99962
O76024 P85515
P15429 Q60930
Q92614 P28340
P35222 P48735
Q96A72 P36972
Q8N9N8 Q9DB15
Q7Z4V5 Q08857
P30626 Q15369
P19511 P62824
Q9NX24 Q8IVF7
Q9Y4L1 Q13330
Q8BGC0 Q641Z8
O76024 Q8TEW0
O43602 Q9CQH3
O88738 P12235
O43541 P13437
Q9NWX6 P22087
Q14524 P22315
P13804 Q5EBG6
Q8IVW6 Q6NYC8
Q9Y295 Q9CPQ8
Q9CZ13 P15924
P49418 P41516
Q15651 P06761
Q9D023 P16104
Q9HCC0 P70056
P00403 P27816
Q02978 P61354
O94851 Q9ERD7
Q9HCC0 P17931
P49736 Q08857
Q922F4 O08629
O75197 Q9Y265
P03921 P38656
Q8R3G1 Q9NZB2
P52825 Q9NPE3
P60867 P49810
P30153 Q6Q788
Q9BUQ8 Q71U36
Q96MH2 P06761
P36972 P05141
P41136 P38060
P10809 Q5M7U6
Q9H4Z2 Q14318
P41516 Q12851
Q15084 Q12955
P14678 Q9CZ13
Q12756 P42669
Q0ZGT2 Q9UHK0
Q99523 P04642
P40926 Q63503
O43290 P62491
Q99996 P17302
Q16778 Q68FQ0
Q9BSQ5 Q9Z2L0
P05369 Q9UGY1
P30533 Q9Y3B4
P07153 Q9Y618
P68106 P11960
Q8BH59 Q45VV3
P63010 Q3ULD5
Q9D8B4 Q96S59
O94851 Q568Z4
Q9UI08 Q9CQ69
P50747 O43541
P63012 Q8BKZ9
Q8CAK1 O60493
Q9P2R7 P61980
P37837 P11507
Q9BWH6 P20674
Q09666 O35245
P18085 P30990
P12235 Q9Y223
Q9P0K7 P07237
Q05962 Q96JC1
P38656 Q99L13
Q92620 Q6PJW8
P42680 Q61473
Q13285 P42123
P81155 P31000
P51572 P41136
Q15642 Q9Z2L0
Q9D172 P04406
P48962 P27782
P85834 Q03989
Q9NZI7 O75781
P68254 P15884
Q15327 Q63610
Q16678 Q9UL54
Q5JTV8 Q9CQZ6
Q9Z204 P68133
Q6P0K8 Q13467
P07153 Q92997
Q66HD0 P38919
P35610 Q9CQ54
Q5XIM9 Q8N9N8
Q9Y496 Q8N3J5
P35579 Q9Z2Z6
P51881 Q8K586
P03911 Q9DBR7
Q9CQH3 P35704
O00170 Q99L13
Q04750 P48962
Q3UM45 Q9WVB9
P62919 Q91WD5
Q9P2M4 A2AAJ9
P67779 Q9BWD1
P46778 P0DJD3
Q9QXG9 Q9UHB6
Q29504 P07153
Q16594 Q9R1Z0
Q16778 P61021
O60832 Q8JZN5
Q9Y2T1 Q16778
Q99LC3 P61981
O70571 P52565
Q9JLZ3 Q6PJW8
P58281 P16054
P12814 P18596
Q07960 Q15651
Q6P3W7 Q60597
Q9H361 Q9Y3B4
Q05195 Q9CQQ7
O15105 O15460
P11532 Q9CSN1
P06761 O00482
P62805 Q9QUR2
Q92673 D3YXK2
Q9JLZ3 P34913
Q2NKJ3 O95154
Q9WUJ3 Q8TAQ2
P13437 Q9BR76
Q91WD5 Q02248
P22087 Q3KR86
Q9D3E6 P00403
P38656 P10860
Q07157 Q8VHR5
P29372 Q13467
Q91ZW3 P18085
Q8CH18 Q3UM45
Q9DCZ4 Q9Y2X3
P54645 Q9EQD0
P61354 P35738
Q3ZCM7 O08579
Q2NKJ3 P42680
P07814 P22087
Q96HC4 Q8BGC0
P13437 P62318
Q96A73 Q9CQJ8
Q9CQH3 Q9BRA2
Q05682 Q8WW12
Q14749 P60122
Q9D8B4 Q60737
Q9H477 P98161
O76024 P62491
Q01082 Q63943
P15178 Q9JLZ3
Q920Q6 Q60597
Q9HAV7 Q8WU90
Q99697 Q12849
Q61831 P11507
Q99068 P15924
Q9CQ54 Q9NVM4
P15205 Q9UH99
Q9UHK0 Q9NSD9
Q08AE8 O55143
P98082 Q8VHV7
Q06185 P63245
O15460 Q96AP0
O55143 P35222
P12235 O15460
Q00981 Q96C57
Q9NZI7 P63261
Q9NPE3 P06732
Q99MR8 Q9DBR7
Q9UNF0 P50402
P85515 Q9D6J5
P50747 Q9Z2N8
P39447 P01009
P28023 P21796
P42765 P30838
Q9CQH3 P48729
P30153 Q9HCC0
P60867 Q8C1D8
O88572 Q12849
Q5SUQ9 P61163
Q8N3C0 P51141
Q9P0J0 Q9UKS6
Q71DI3 Q14244
P06576 O43768
Q8IUZ5 Q63942
Q9D3E6 O75385
P13084 P49448
P59017 O60493
Q9Z1P2 Q9D172
P32089 Q14678
Q8BX09 Q96MG2
Q9UNL2 P51637
Q8CFE4 Q68FR9
P08413 P49257
P0DJD3 P01130
Q9Y3E1 P40939
P04642 Q9UHK0
Q16635 Q9DCZ4
P50402 Q9CQ54
Q9CQA3 Q6P1N9
Q9Y305 Q29983
Q07869 Q06185
Q63617 Q9DCT2
Q8NBS9 Q8JZN5
P03888 Q3ZCM7
Q9JLZ3 G5E8Z2
Q9HAV7 P13084
Q62415 P01009
P35610 O75344
P42704 O75581
P62318 P56574
Q15327 Q9DB15
P15924 Q99068
Q5EE38 Q61062
P49407 P03888
P62630 Q9UNL2
P20674 P60867
O75781 Q9CQ54
Q9UHK0 Q14247
Q9UPN3 P13804
P16054 Q14C51
Q9NPE3 P03888
Q5JTV8 Q9NPC6
P49951 Q69YI7
P18085 Q6NYC8
Q02978 P47857
Q16643 P12830
Q93008 P16332
O76024 Q9Z2Z6
P09034 Q16678
Q14498 Q61315
Q63943 O75083
P04075 P56574
P12830 Q969Q0
Q9BUL9 O96013
Q9Y4L1 Q9JIL3
P63279 P99028
D3ZHA0 P18596
Q8BH59 Q61062
Q8N386 P17012
P21796 Q8CH25
P38060 Q8TEW0
P01130 P29692
P06753 Q9CZ13
Q6NYC8 P03911
Q5U4C3 Q01813
P55786 Q9D023
Q9R1Z0 Q5H9R7
Q91YD3 Q9CQ69
Q63617 P16086
Q96MH2 P00414
Q920B9 Q9NQC3
Q96BK5 P48735
P15178 Q8CH25
P49736 P63000
Q61473 P35610
P62836 Q92731
P48721 Q13347
P04642 P56556
P17676 Q16698
Q9R1Z0 P61011
Q921G7 P46783
Q6PG37 P07384
Q791V5 Q9Y5S2
Q923S8 P51572
Q6Q788 Q6VN20
P13437 P14868
P30990 Q9CRB8
P85834 Q8BX09
Q5BJY9 P00395
Q02078 Q69Z38
Q60972 P62491
O60869 O70571
P48735 Q9Y6K1
P32089 Q8R3G1
P61980 Q13467
P11530 Q60597
P00505 Q9Y3E1
Q8BH59 Q8CH25
Q62812 O00308
Q00438 P39447
O13852 Q9CQQ7
P15884 P56574
Q9BUR4 P63261
P59017 Q96A72
Q14204 Q62826
Q91VD9 Q6P7B0
P52825 Q96MH2
Q9P291 Q9NQG5
Q9D023 Q14678
P19338 P21796
P16036 Q01853
P47858 P0DJD3
Q9NZI2 O75581
Q3KR86 P00966
Q60972 P85515
P12277 P15923
Q06830 P13804
P46778 Q8N9N5
Q7TPR4 P63039
Q13467 O75083
Q8BKZ9 P30533
P42932 Q9D3E6
P49207 Q9D7K2
Q99MR8 Q12972
Q09666 Q9DBR7
O70571 Q71UF4
P46778 Q92731
P55084 Q9BRA2
P14923 Q5JTV8
Q9NZB2 P00405
Q15369 Q99LC3
Q8N3J5 Q16658
Q9D3E6 Q8BK64
Q13467 P40429
P03921 Q16527
Q99068 Q01995
P40925 Q8C1D8
P16036 P55786
Q5EE38 Q16658
O70571 Q9Z204
Q9DBR7 P84082
Q15435 Q68FP1
D4A3K5 P61589
P13804 Q92614
Q99814 Q8BH59
P61982 Q9NUX5
P84092 Q14498
P07437 Q924X2
Q96MG2 P62491
P68400 Q6IFU8
Q9NZI7 P29474
Q16698 Q03989
Q00688 Q7Z478
Q9NWD9 Q9CQJ8
Q9D0M3 O88492
Q06187 Q61941
Q8BWM0 P48735
P37837 Q8BMS1
Q15691 Q8WW12
Q9CQ54 P85515
P09104 P35232
Q9P2R7 P54274
P27661 Q9Y305
Q9NWD9 Q9D6J5
P27661 Q9Y2T1
Q13796 Q05195
P85834 P61980
P03921 Q9HCK5
Q7KZF4 Q9D8B4
P63279 Q8BMS1
O75083 Q9Y3B4
P60867 P29117
P47756 P12787
Q14974 P05141
Q8BKT7 Q9CWD8
P20823 Q06830
P62804 Q91WS0
O00154 Q9Y2X3
O95197 Q6PDQ2
Q05962 O75154
Q9H477 P12236
Q92614 Q8CAK1
O95071 Q8CH18
P84092 Q2NKJ3
Q7Z3C6 Q9NPE3
Q60972 Q9NPH2
Q9NUX5 P00325
Q6PJW8 P06576
Q96MG2 Q9H4Z2
Q9Z2L0 Q9WVB9
Q5VU43 P52825
Q9Y6Y0 Q75Q41
P19793 Q9UNL2
Q9D8B4 P60484
P40939 Q9UJU6
Q9ULV4 P62632
Q7Z478 Q8BJZ4
Q9NPE3 Q15084
Q07869 Q8TEW0
P23528 O95197
Q00577 P46778
Q14764 O14495
P46781 Q00438
Q9Y223 P84586
Q8K4B0 O09111
Q8R560 Q921G7
P98082 P42669
O09111 Q8N8S7
Q15466 Q9Z2L0
P04041 Q9CQZ6
Q96S59 P30533
Q99LC3 Q9NRR5
Q3ULD5 O75593
P03921 P62632
Q924X2 Q9JJ54
Q8NBP7 Q92917
Q8WXG6 Q8WW12
P04083 Q96MG2
P11980 P13437
Q9EPR5 Q62311
Q91WS0 O14640
Q9WV60 Q08857
Q568Z4 P05114
O95835 Q61941
Q9UGY1 P07814
Q568Z4 Q9UDY4
P61354 O75581
P26038 Q91ZW3
Q61234 P62632
Q29983 P11103
Q8BX09 Q9DBR7
Q8N3J5 Q12955
P05783 Q75Q41
Q9Y3E1 P09493
Q5SW96 P97700
Q91YR7 Q01968
Q15785 P16615
Q13813 Q92731
P63313 P32551
P60122 P01130
Q8R3G1 Q12955
P16104 P18510
Q9BY11 Q9CSN1
P68371 P17302
P30990 Q14135
Q09028 O75143
Q9Z1P2 Q16698
Q05682 P16332
P23242 P21796
Q07157 Q9HAW7
Q8IYL3 O14976
P48453 Q92786
Q9DBD5 O14495
Q9Y223 Q96AG4
Q9ESN9 Q9D8B4
Q9EPR5 Q9P2R7
P12787 Q99959
P63010 Q8BGC0
P04041 Q02539
Q12905 P47934
P25054 P48431
O15460 Q61473
Q9Y3L3 P19511
P31000 Q9DB15
Q0VBL3 P62271
Q86Y82 P25705
P85108 P57081
P47934 P30838
Q9D172 Q9NRX4
P46108 P49257
Q01853 O14678
P25054 Q8BUY5
Q9D172 Q96G03
O54774 Q9CQH3
Q09666 Q14244
Q02566 Q9UJU2
P21796 O15372
O75197 P13929
Q9D8B4 P10037
Q8BGC0 P30427
Q15650 Q9CRB8
P81155 Q9UKD2
P60953 Q9Z2L0
Q15651 Q9P2M4
O15371 P42166
O75581 P11530
Q9D6J5 P49736
P62942 P13804
P15999 Q10758
Q9H223 Q99081
Q568Z4 Q62826
Q06187 P35435
Q99L13 O75781
Q02539 Q12756
P15923 P00414
A2AAJ9 P25705
Q924X2 Q9WV60
P09104 Q92786
P46778 P16332
P55210 O08852
Q3KR86 Q9WTU6
Q91YD3 Q8BUY5
Q07954 P48735
P30990 P00367
Q63942 P43244
Q9JLZ3 Q9UM54
Q14135 P06732
Q8BJZ4 P47756
Q63932 Q16594
Q9UEY8 O95071
Q63617 P15209
P52565 Q5SUQ9
P53778 Q4KM74
P18596 Q02078
Q14749 Q91VD9
Q00059 Q6IFU8
P21291 Q05682
Q9NY12 P28480
P08050 Q02566
Q6PJW8 P27661
Q9H4Z2 P29314
P61009 Q15678
Q9NQG5 P05413
O15105 P51571
P00367 P40925
P00505 Q27J81
P00367 P08050
P57081 P35280
Q9CWD8 D3YXK2
Q8WVJ2 Q03135
O75197 O43390
P46952 Q71UF4
O43290 P50542
