Q96K21 Q13627
Q9BXM7 Q96T58
Q8TDW0 Q16620
Q9BUN5 P49870
P13796 Q99549
Q9BS18 P97820
Q92614 P48431
O94906 Q9Y676
P42704 P20651
Q9HCK8 O94925
O60499 P37840
Q9H0H5 Q86SZ2
P41250 Q9BS18
P13796 Q14207
Q03160 P18113
Q9Y613 P25440
P15311 Q86V48
Q4JR05 Q9P0U3
Q9HC77 P04273
O75197 P03372
P21146 Q15648
Q9BXM7 O43173
Q9H0F7 Q9UHV7
P02766 Q9NS37
Q13426 Q8NA29
P36888 P20839
Q99996 Q969W0
Q00987 O95292
Q9UPN7 Q9BUI4
P34021 O75154
O96019 P27797
O75475 Q08462
P15559 P35244
P02788 P58335
Q9BT67 Q8WX92
Q96E14 P30429
Q8IZH2 O43463
O96013 Q80U70
Q13496 Q9UQB3
P52272 P61421
P42224 Q64690
Q9HBA0 P41220
A0JLT2 Q92542
O35696 Q9NPJ1
Q7Z7A3 Q15561
Q96HS1 Q9C000
Q92896 Q8BK63
Q92890 A4D1B5
P56159 Q9Y4E8
Q9Y2B0 P39688
Q9UK80 P50851
P35354 Q6ZVD8
P42261 Q99729
Q13464 Q7Z7H8
P30279 O43505
Q60838 P21912
Q9H7X0 Q06455
Q13362 Q9Y285
P84233 P31040
O75154 P49791
Q16873 Q9Y2J2
Q99996 P29375
Q38SD2 P49959
P27824 P30281
Q07960 O95994
Q61091 P11881
Q9BT67 P21675
P58335 P31000
Q13085 Q96AY2
Q9BY43 Q04199
Q9H5Q4 Q7Z6J0
Q96I25 Q96J94
Q9H9B1 Q9Z0S6
Q03933 P48553
Q13185 Q61411
Q9Y385 O00429
O43819 P32455
Q9Y2L5 Q86YP4
Q9HCM1 O43303
Q13573 Q9BRJ2
P60709 Q14789
P18085 Q9BWF3
Q9H1J1 Q9J3M8
Q5W0Q7 Q8IWV7
Q9Y613 O00482
P62805 P84085
P15036 Q8NHV1
Q86UT6 Q06481
Q9UGP5 Q9Y2J2
Q8TCN5 P58004
Q9Y2X0 Q8IWV7
Q9BXL7 P16220
Q91X58 P59998
Q9NXV6 Q9NUJ1
Q9H0W5 Q9BRX5
O00763 P11137
O43633 Q8IVH2
Q9H6W3 Q66GS9
Q9H5Q4 Q61036
Q4JR05 P14923
Q96NW4 Q86SE9
Q9NUX5 Q99962
Q9D0A0 O75460
Q00566 P70343
Q00566 Q9NX02
P15104 Q96EQ8
Q5VIR6 P07947
Q05195 Q13114
P08559 Q5JTV8
P05091 Q08881
Q15814 Q96RK0
Q80U63 Q06587
Q99NH2 P70399
O15243 Q96D46
P26233 Q9H0X9
O00257 Q9NQX3
O76031 P36871
Q920B9 Q16667
Q99708 P62917
Q16181 O96017
O14656 Q9BPX6
O75925 P25705
Q6ZWS8 Q9Y2B0
P20340 P25963
O75170 P78364
Q1JQ97 Q08945
Q86XK2 Q96NA2
Q9UK53 Q3V6T2
O75643 Q9UPN4
Q96KK5 Q3UHK8
Q16740 Q9Z277
P34021 P54287
P56962 Q969R5
P84228 Q16658
O95219 Q9H2P0
Q2KHM9 P53539
P47712 Q91ZK0
Q14247 O75844
P21579 Q16873
P17677 Q96RK0
Q9BRT9 Q9H845
Q9NVR2 Q969G9
Q9Y385 O18973
Q13111 Q5TZA2
P46199 Q9BX63
P32519 P55957
Q15059 Q14643
Q9NY59 Q07960
Q04650 Q13813
P48643 P68400
P36871 Q96RL1
Q06278 O75197
P48553 P23198
P08559 Q9NR96
P20340 Q96NW4
P01912 Q9HD42
P48431 P63102
Q7Z6M4 Q582G4
Q61598 Q9CQ39
P21803 Q6PL18
O60333 Q14686
O75460 Q9Y281
O14734 P62714
P26368 O95786
D3ZAR1 O08852
Q9BQA1 Q5VSY0
Q96RL1 O43505
Q8NA29 Q9Y2Z4
Q6FI13 Q9BVG8
Q24368 Q12929
D3ZAR1 Q13889
Q13323 P40763
P11831 O08807
Q24325 A2RRP1
P60520 Q9UGN5
Q9HB96 Q9NUB1
Q96I24 O88485
P53539 Q9Y5M8
Q7Z7H8 P15531
P27824 P19484
Q9H3P2 Q96B97
Q8N726 P81122
P02687 P05141
Q14781 Q9WU78
P42684 Q14676
Q14160 Q9HB96
P13804 Q96NA2
P49716 P60010
Q8IYH5 Q13347
P55060 Q9JJY3
Q92843 Q12154
Q92925 Q13393
Q9BRJ2 Q13596
Q9H4G4 P21796
Q15562 Q9Y2Z4
Q61188 O43312
Q15678 O60337
Q17R98 P05166
Q14155 P14859
O88572 Q969G6
P23771 P12504
O43617 Q9UDY8
P28749 Q9H4A3
Q9BV73 Q9P0U4
P28370 P20029
Q6NUQ1 O95140
Q9UHX1 O75154
O75822 Q9Y6N7
O43557 Q9D0A0
P48552 P28290
P26368 P53004
Q96EQ8 P42225
Q96SB8 O15354
Q96EF0 P21554
P61328 Q8TCY5
O43716 Q96FF9
Q9BVC4 Q9C0K0
Q99MI6 O60674
P18428 P24643
Q9UKV3 P51693
Q9WUN2 Q61686
P49116 P20936
Q9UL18 Q13573
Q8VI24 Q9Y496
Q16576 Q15005
P43403 P84243
Q76N32 Q16611
Q9Y3Z3 P40344
O94986 Q8IXM2
P61019 P31751
Q07812 Q96GM5
Q7Z419 Q8R5C8
Q91YI1 O94776
O15371 Q13263
Q5VSY0 Q9NZN5
Q8TF40 Q9P2R6
P10721 Q9UHK0
O75880 O14641
Q07960 Q12824
P60709 Q15120
Q8N4Q1 Q9BT78
P31040 Q66GS9
P01111 P16403
Q96CG3 O75030
Q13257 O43505
Q99963 P18846
P46414 Q9Y2L5
P55064 Q9UHK0
P40344 Q8NHZ8
Q9Y385 P68431
P46934 Q9Y385
P15884 Q5NBX1
O94986 P30519
Q02763 P30665
Q16656 Q8N122
Q9H9T3 P01912
Q9NUV7 Q92759
P51532 Q5VU43
Q92542 Q9BSJ8
Q13438 P21856
Q9Y5M8 Q96RK4
P58335 Q01082
O88509 P56962
Q13546 P42262
P01130 P46933
O75396 P46099
P41002 Q61091
P21554 Q8NHY2
Q8T045 P19335
P02687 Q96EP1
P23381 Q99807
Q9CPX6 P22091
Q86VE9 Q15652
P70166 O14735
P59759 P63172
Q9UKV5 Q08211
Q92889 Q9QXG4
P14324 P52948
Q9UL17 P14625
Q8IWF2 Q14997
Q582G4 O75581
P58005 Q9Y6N7
Q96RK4 P17096
P61086 O15209
P61086 Q16873
Q92542 P04625
Q5JU69 Q9Z2X2
P54132 Q9NZ52
P84085 Q60641
Q8VIM5 Q9BQS8
Q8N6T7 Q03519
O60356 P11177
Q9UBK2 P19438
Q96G30 Q13464
O15355 P33450
O75586 O15085
P11586 P17844
Q9NUV7 Q9Y5W3
Q9QX47 O75147
Q8N122 O00330
P24928 P36888
Q13148 P11498
P08865 O08734
Q70E73 O94913
Q9UGU5 O00139
Q3UHD6 Q9NPD8
Q14964 O00257
P19438 P30990
P10515 Q01664
P04229 O75030
Q61091 P53004
Q96QB1 O75460
Q16740 Q99963
O95140 P11021
P24723 P36046
P51449 Q9UID3
Q15233 P07437
P50748 P22700
O43159 Q92552
P33778 Q05329
O15151 O75962
P62807 O75880
Q49A88 Q15572
F1MNN4 Q9NYY3
Q9D5L7 Q86YP4
P32558 Q13884
Q91W69 O43159
Q9UBS4 Q8IVH2
Q15388 P97260
Q9HBL0 Q5DW34
P31314 Q9Y2Q3
Q6ZN18 Q8VDU0
Q58A45 P31314
P17844 P12830
Q15256 O15151
P98161 O75127
O75460 P09012
Q8N365 P18484
P78347 Q9HBA0
Q70E73 P12694
P70280 Q9UIF7
Q01968 P18858
O75419 Q9UJY4
P31001 Q9Z2G6
Q96DA6 Q08209
P27824 Q9BVG8
Q92748 P35354
Q99942 Q9UK73
P22227 P48444
P61981 Q9H0D6
Q9H4G4 Q7Z7C8
Q14524 P25490
P43403 Q61026
P07270 Q14789
P62799 P30671
Q9BRT9 O88572
Q9H0R1 Q9BUR4
Q9HCE7 Q9HCE5
Q96PU5 Q3U4G3
Q16637 Q6UX06
Q9NRR4 P32851
Q13029 Q13651
Q66GS9 O15315
P35606 Q99NB1
Q06547 Q9JK11
O70511 Q15562
Q13416 O15085
P18206 Q63755
Q9NRL2 Q7Z4S6
P07237 Q15054
O14964 Q96EF0
Q4JR05 Q9NZN5
Q8NHV1 O43819
O60942 Q8NDV7
Q8IXK0 Q9Y4G6
P18615 Q99961
Q99NH2 Q9UBC3
P52789 Q96JM7
Q13464 O14595
Q9NZN8 Q03519
O96000 Q5VWQ8
Q9H082 Q9NX18
P70444 Q9GZU7
P62937 Q6P9F7
Q8VEB1 Q7Z6M4
P05166 Q96IZ0
Q9BYG3 Q9GZU1
Q9GZU1 Q60644
P84244 O60784
P26043 P48553
Q9P2W9 Q9UK73
Q920Q2 Q12756
Q9ULV4 P84228
P10636 P19419
Q70CQ3 Q15633
P56159 Q14790
Q9Y5W3 Q96CG3
Q9NZ45 O14929
Q9NTI5 O43505
A2AGH6 Q91W69
P07996 P62136
O43439 Q96NA2
P38862 O95461
Q9NY59 Q92800
P61086 Q9Y2X0
P60866 O14735
Q96E22 Q96QB1
P16152 Q10570
P13747 Q96R06
Q8IWI9 P05141
P20823 P02687
O60907 Q9P021
Q86YL7 P08571
Q9UL18 Q13190
Q86VE9 Q96HS1
P15408 Q9WUN2
P14653 P52179
Q61180 O75643
P30307 A4D1B5
Q03173 Q16695
Q06609 Q9UBS4
Q8NFR3 Q61686
Q9Y2L5 Q71DI3
Q64096 Q8N6T7
Q16620 O14735
Q9H9Q4 P62491
P49791 Q9CZD3
P60953 P28370
P23769 O55043
Q14141 O15014
P80188 Q08945
P21675 P79114
Q04724 P14222
Q9UKL0 Q9NVA2
Q8IYH5 P70444
Q9GZU1 Q13243
Q9CQJ2 P38862
Q15468 Q06481
O00255 P32883
Q9H5Q4 Q9GZU2
P23204 P70280
Q9BZF1 Q15118
Q80U63 P29350
Q9QXS1 Q60641
Q8WXI9 Q9NWZ3
P62834 Q8WXF7
P26687 Q7L576
Q13330 Q15011
Q03164 P18428
Q9JM54 O95271
P05165 P01111
Q9Y5B9 O95810
O76031 Q9UBT2
P32527 Q08484
P49750 Q1XH17
P17096 Q14449
Q9NTG7 Q9NRW3
Q99807 O60216
O95639 P00966
Q9H3D4 Q10589
O96013 P43351
P28715 Q99961
Q92889 Q8IYV9
A0JLT2 Q15907
Q8N3Y3 O43809
Q5VSY0 P62942
Q80WQ6 Q96CN5
P28715 Q03555
Q9H944 Q15036
P05161 Q86SZ2
P68135 P51825
O88850 P52333
P58335 P49760
Q8C456 F1MNN4
Q60598 P70399
Q15370 P46821
Q7KZI7 Q05639
Q8NDV7 Q8IX07
O15372 Q9UBG7
Q9HAN9 Q29983
Q96QV1 Q9Y5U4
Q12996 P20338
P49257 O60563
Q9UPQ9 O43929
O60563 P23921
O14735 Q60974
Q12933 Q16594
Q6VAB6 Q15120
Q9NQS7 P49281
P15374 P07823
Q9GZM8 Q03518
Q9Y6B7 Q9ULG1
Q96R06 Q9UQR0
Q925J9 Q2VPK5
Q14565 P15374
P53004 Q91ZK0
Q7L7L0 P63027
Q96PU5 Q9NZ45
Q9H9G7 P49847
P49368 P07996
P16615 O95271
Q9ULD0 P35250
Q8NFR3 P63000
Q8N680 Q9UII4
P42574 Q06547
P81877 A6NHX0
Q01813 A0FGR9
Q99PV5 P62917
P07996 P52179
P01130 Q13438
Q13084 P15884
P70351 Q9UGJ1
Q07960 P23572
P26367 P09936
Q15543 P62494
Q96AQ8 Q9BSQ5
Q9UBU7 P63104
Q8IWF2 P61326
Q9BWW4 Q8NHV4
Q9UNN5 Q16760
Q16611 Q13309
Q01860 Q13438
Q8TCN5 Q92743
P49817 Q16543
Q6IQ20 P0CE12
Q96QC0 P62330
Q7L2H7 Q02297
Q8IYH5 Q9BVA6
Q7Z7C8 P10515
Q9NVP2 Q8IUX4
P35227 Q12834
Q13216 Q96CB9
Q8IYW5 Q38SD2
Q8IWZ6 Q6ZRS2
Q96JM7 O75436
O43896 O15514
Q8NB16 P42704
Q9BZF1 O00743
Q5T4F4 Q9UKV3
O70343 O43264
Q9NR96 P45973
P18428 O15269
Q49A88 Q9H0D6
O95639 P06396
P30990 P35227
Q920B9 P62494
O73557 Q15545
O75448 Q9ULD0
O95503 Q9H0U6
Q9HAU5 Q9NZ52
Q9Y2A7 Q9CXC9
O43557 P11310
Q86XR7 O43541
Q96GM5 Q9UL25
O15315 P19490
P53762 Q9NX02
Q6PD62 P05161
Q13637 Q8T045
Q96AE4 P13747
Q9BSJ8 P54727
Q06830 Q5DW34
Q9NUG6 Q9NX18
P35250 O88572
P60880 Q01705
Q01968 P48003
Q99961 Q9UPS6
Q15435 Q13009
P11177 Q8R5A0
Q9NS87 Q96L73
Q14678 Q99942
Q9HC62 P13747
A6NHX0 O94782
O75530 O00330
Q9NTI5 P19490
A4D1B5 O00311
P04843 P15924
Q9UHR4 O14734
P25440 P21146
Q9BUR4 O88485
O43439 P12235
Q8N680 Q16658
Q99418 Q4G0J3
P16615 P54725
P18484 P06400
P43405 P24643
P35228 Q9NTG7
P28370 Q9Y5K6
P11881 P84233
O75197 P14142
Q9QZL0 P33993
P52179 O15550
Q9HCS7 O15085
Q8NHV4 P13804
O95994 Q9NSD9
Q06455 P39958
O43303 Q6PAL8
Q04724 P49418
O94913 Q8N138
P61006 Q7KZ85
Q9NYW8 Q4ACU6
P58335 P46060
Q13351 Q14643
P33450 Q9P0N5
Q8T045 O60942
P18428 Q8IUF8
Q7Z6Z7 A0FGR9
P56945 Q5VIR6
Q96AE4 P04925
Q5VU43 Q92878
Q96K62 Q15139
Q4JR05 Q920M9
P57081 Q9BXC9
P51449 P07437
P14735 Q15629
Q9Y4A5 P40967
Q9P209 Q9NPD8
O35867 Q9UBP6
Q99594 P61106
Q6PAL8 P62258
Q9UID3 Q62296
P60763 P16104
O00257 P48553
P41164 P15153
P36507 Q15291
P98161 P03966
Q8TAD8 P50281
P11310 Q9NV56
Q9Y5R6 Q13671
P22392 Q9BZE1
P15172 A0FGR8
Q94818 P63027
Q9H0R6 P43558
O95352 P15407
Q12154 Q9Y5W3
O94913 Q14141
P13051 Q9BSB4
P22607 Q92466
P57078 Q9NYV4
P05480 P24643
Q13418 P46100
Q16760 P57081
Q8K4S1 Q9NUV7
Q8TDM6 Q9NUJ1
Q10567 P25205
P70280 Q13156
P49750 O75170
Q8C0J2 O94906
P54727 Q16891
P30533 Q9UK73
Q2VPK5 Q9NYW8
O18734 P49711
Q9Y6N7 P43355
P30622 Q9UL03
Q8VI24 Q8IWE5
O15084 Q96NA2
Q5SPW0 O76064
P11500 P17693
Q86YF9 Q9H082
P48552 Q9NR80
Q8K4S1 Q9UKF6
Q9NYY3 O00330
O35696 P23572
Q9BV36 Q969G2
Q9H6D7 Q99NB1
P05132 P04229
Q8IZU3 Q92934
O43617 O15054
Q27272 P36507
P07992 O95292
Q9CSN1 Q86YS3
Q99683 Q96MW7
Q16891 Q9UBN7
Q61033 P48059
P13747 P62140
Q9Y5Q8 Q3U7R1
O75154 Q60974
O43679 P07814
P09874 O76031
Q9BUL8 Q9BSJ6
O94888 O00221
P21912 Q92890
Q96B97 O94888
Q8N365 Q9BV36
Q9BZE1 Q9HD42
Q12824 O14810
O43572 P00533
Q60598 Q96NB3
P24723 Q9H0E9
Q9UBS4 Q16623
O43819 P07992
P18847 Q96PU5
P04910 Q61598
P51668 Q9ULD0
Q16873 Q64010
Q8R5B6 P21549
Q91X58 Q96K76
Q9UPN4 Q9Y5W3
Q9BUN5 O60244
O75379 P10599
P49716 Q8WTX7
Q9I9A7 O15085
Q9HCE1 P42261
Q6ZQ88 Q9BSB4
O95352 P41778
Q15468 Q86U86
P61106 Q9H307
P51449 Q9Y285
P63102 Q80W00
P40937 P04601
P35998 O94913
Q96SN8 Q6UXV4
P04488 Q9HB90
P14923 Q9Y5W3
Q9GZM8 P53762
P23769 Q9Y5U4
P48735 O60506
Q02535 Q60855
P60706 Q64690
Q9P2R6 P52179
P49959 P78371
Q96RL1 P20339
Q9UNQ0 Q07478
O15027 Q6FI13
P52292 Q9NUJ1
P15924 P19490
Q61644 P33778
P04273 P49791
Q6PAL8 Q9Y6W5
P06899 Q14315
Q8TAD8 O43521
Q9Y618 Q13464
P62799 P17210
P62803 Q61644
Q9H497 P45973
Q9WU42 P10636
O00506 Q96DA6
Q9UKV5 O95863
Q9NTG7 Q9H9Q2
P18206 O75586
P56159 Q9H3S7
Q920M9 Q9NZ45
P26043 Q8N7H5
P49023 O14686
P84244 O14662
P14142 O15354
Q9Y5R8 P04910
P27824 Q2VPK5
Q9UK97 Q64364
P29083 Q8WXI2
P27708 Q9H0R6
Q03160 Q6UXV4
O15503 Q9H8V3
P30305 Q8IWF2
Q6NSJ5 P31350
P25454 P42566
P06730 P05166
P16152 Q8K4K2
Q96L91 Q12983
Q9H6L5 P61809
Q9HCS7 P13861
P20029 Q05639
Q14207 Q61496
P08559 O75618
P58335 Q9WUN2
Q6P9F7 Q9JJY3
Q8IXH7 O95219
Q61656 Q9BSQ5
O43819 P43268
O14879 Q15554
Q9NVI7 P46100
P11831 Q9UPY6
Q6TCH7 O75140
Q14498 O14879
Q96CB9 O43617
P32780 P33450
P48553 P22830
P18846 P69723
Q86TM6 P52701
Q9UGJ1 Q13404
P13804 O15144
Q13322 P58335
Q9NZ52 Q15545
Q60641 P35585
P22700 Q13323
P14625 Q92913
Q9Y2B0 Q80W00
P12980 Q9P2R3
P42225 P31040
Q96EP0 Q9UK61
Q96B97 Q13243
Q9H0U6 Q86UY6
Q86SQ0 P54725
Q80U63 Q9UMW8
Q8IYB4 Q9H6W3
Q02763 Q9NZ52
Q9GZQ8 Q8NBT2
Q4G0J3 Q9NUV7
Q924A2 O88572
Q7L576 Q13416
P10515 P30681
P32505 P04156
P49769 P62807
Q92843 Q00535
Q9NVR2 Q60598
Q92542 P42568
Q92730 P11310
O00712 Q15120
P39052 Q9NV56
O75396 P49917
Q99NH2 Q15059
Q9NZ09 Q60520
O88384 P62487
Q02248 P16615
O95140 O00505
Q14141 Q9UBS4
P46063 P19367
O60603 Q9NQG5
Q9UHV9 P60468
P40087 P49716
Q9H6L5 Q9UFF9
Q9H0R6 Q9CPX6
Q9UBK8 P36888
P99999 Q96AE4
P48003 Q70E73
Q9BTT4 Q13432
Q7KZI7 Q9Y296
Q9NUJ1 Q13469
Q99683 Q13547
Q9BXK5 Q96K76
Q2VPD4 Q1JQ97
P11586 P30307
P62805 A2RRP1
Q15120 P33240
Q5EE38 P61007
Q9UPY6 P25801
P15374 O43395
O08734 Q13185
Q7Z7H8 P09038
Q16656 P28290
P31322 P35249
Q8TD31 Q9BRJ2
Q5JU69 Q9NTI5
Q04199 Q14CX7
Q9BRJ2 O43264
Q03173 P25440
O43929 P10721
P04488 P55884
Q3U7R1 P28347
Q8N3Y3 Q8C456
Q8WXF7 P30291
Q13884 O75880
P05166 Q9UBV2
Q9NUV7 Q5T1C6
P18583 Q8NFJ9
Q9UBS4 O43255
Q9ULR0 P24723
Q9HAU5 Q14191
Q969G3 Q9UHR4
Q9D0J4 P01009
Q9Y618 Q9HBA0
Q64690 Q6PCD5
P16615 P26196
P36046 Q04726
P51795 O15315
P54253 P67812
Q9UNP9 Q01484
O15297 Q9Y6N7
O00482 O00506
P50503 P04229
P13674 P81274
Q61091 Q9H492
O88485 Q8IY57
P36969 Q9H2P0
O75533 Q08AE8
O43303 Q6IQ20
Q9Y2L5 Q96GG9
P25118 P25686
Q9BTM9 P12980
Q9QXE7 P15813
Q9NYV4 Q13472
P50281 Q9UBG7
O94761 P49257
Q9NY59 Q9NUG6
P62803 O00631
P42261 Q9UM47
Q9Y3Z3 Q8IWZ3
Q02078 P01111
Q8WXE1 Q14152
P04273 Q6UXV4
O43739 O75909
Q7Z7A3 P84244
O00763 Q6XZF7
P07305 Q582G4
P00488 Q2MKA7
Q6ZQ88 Q8IWZ6
P58335 Q496J9
P56545 P17210
P11171 P05166
P49327 P22227
Q9BZF9 P04843
P17693 Q9NS28
Q68CP9 P40238
Q07812 Q17R98
Q9Y613 Q9UL17
Q9H0U6 P26651
Q96RU3 O75586
Q8NCD3 Q96K76
P28845 Q15078
D3ZAR1 Q9BSM1
P84228 Q9BXN2
P67812 P49792
Q9HC52 P61224
P49802 Q13503
Q9H082 Q96RK4
P48436 Q16740
P33993 Q7LBR1
Q01705 Q14671
P31350 Q8N138
Q3SYG4 Q13156
P14866 Q8NBS9
Q9UPQ9 Q96RI1
Q13029 P07830
Q2M3G4 P03966
Q66GS9 P21675
P49368 Q9UJY4
Q60610 O75486
P13393 P51153
Q16520 P98161
Q03518 Q9BVC4
Q9H0R6 Q9Y5K5
Q9BVA6 O75419
Q92800 Q8IYB4
Q9UL03 P29122
Q04205 O43913
Q7Z6M4 P25454
Q9H165 O60337
Q9UBF8 Q969G3
Q07813 Q6P2Q9
Q9Y262 Q96CB9
P63005 Q99MI6
Q91WC1 Q14671
Q9NY74 Q9NX18
P49327 P26687
Q9NX02 Q9H668
Q969G5 Q9Y2X3
O00257 O43633
O75460 Q9QXG4
Q9Y3I1 O15243
O14662 Q8VI67
Q9SJF3 P33240
P08621 Q9UPX8
Q6PFX9 Q9H845
O88838 P16615
O75197 P62917
O75122 P10243
P56524 P11177
P46777 P25118
Q9Y5M8 O95461
Q495M9 P14625
P01130 P12755
Q8TCN5 Q8N122
Q03001 P21953
P30622 Q2NKJ3
Q9H0E9 Q9H0W5
Q01320 P70302
Q9NPI1 Q7Z392
Q16891 P04601
P68255 P10243
O18973 Q6P1X5
Q9UIG0 O43633
O96000 Q9Z2G6
Q92560 O88572
Q5SW79 P18085
O00461 Q9BTT4
Q13137 Q16873
Q13438 Q9NXG0
Q86V81 P56159
Q08462 P19447
Q9BVC4 Q06945
P33176 P48553
P78352 P52597
Q61091 Q15054
Q9NUB1 Q9H2P0
P28845 P46406
O43353 Q13888
P18847 P34080
P52435 F4HZB2
P23771 P11500
P27348 Q9P2W9
O15273 P06899
Q9BS18 Q6TCH7
P63101 Q9Y5W3
Q9NR80 P17535
P18085 Q9BY43
P26231 Q12824
O35343 Q16611
Q8WXF7 Q9UIG0
P42262 O14607
O70511 P22700
Q6NXW6 Q9NRI5
Q9H0R6 P62877
P13796 P22227
O14867 Q9NZD2
Q9BSB4 Q2MKA7
P78364 Q9UHD2
Q9UPN7 P06454
Q15393 Q16795
Q24325 Q16658
Q9NVR2 P18085
Q13487 P51668
Q99996 P84228
Q9P2W9 P47712
Q8N726 Q15382
Q93008 Q15233
P13393 Q5NBX1
Q9P0L2 Q96GG9
P17947 Q9BSQ5
P63211 P19532
Q96CB9 P61160
P98171 Q96AY2
P49959 Q9NX02
Q7L1W4 O60244
O14974 P17535
P09914 P28749
Q8IWI9 Q66GS9
Q12154 P22087
P13497 P48023
Q562F6 Q03518
Q9M548 P62494
Q15080 P16615
O75925 Q9UQC2
Q62074 P04229
P07237 Q13243
Q9Z0Y9 Q9H845
Q9JHD2 P38117
O75531 P20340
O15550 Q9ULV4
P13984 P19878
P30519 O75122
O00170 Q9H334
P16778 O18734
Q12888 P70191
Q12815 Q86U70
P01584 Q03135
Q9NR80 Q96I25
O35613 Q9NUV7
Q9Z0G0 Q9GZV8
Q12815 P01108
Q99963 Q80WQ6
Q96RI1 O35867
Q92878 Q9H6D7
Q8WUW1 Q14209
O94776 Q86XR7
Q9P2D1 P28472
Q8WVM7 Q96QV1
O75695 Q9BT67
P61247 P16778
Q9P1Q0 P54577
Q01405 P15884
Q9NZN5 Q9UID3
P51693 P01903
P04273 P41279
O95461 P49427
P21912 Q13155
O60244 Q9Y2Q5
P68036 O15503
P06400 Q12933
P19438 P51587
Q8TDW0 Q12879
P10515 Q04650
Q08499 Q08484
Q3U6Q4 Q96AP0
Q9Y294 Q9HBL0
Q93074 Q9NYY3
Q9GZU1 O55005
Q9HBL0 Q9UN42
P16333 Q9NVI7
Q9JJY3 O15151
O75127 Q4JR05
Q9UJ41 Q14191
Q99570 Q86UT6
Q9H0X9 P51946
Q9UBV2 P98171
Q8IU60 O96000
Q03518 Q7Z6E9
O14745 Q9Y2K7
Q9H792 Q9Y2L5
P30260 Q8WXI2
Q99961 O75417
Q71LX4 Q969W0
P56945 Q9D0A0
P15529 Q13950
Q8QZZ8 P30533
Q92800 Q9NUB1
Q9P021 P59759
P61328 Q8BKI2
Q96E14 Q9Y678
P70315 Q9Y385
P21802 Q96L91
P00966 P23193
Q9NVR5 P26678
Q15139 Q92889
P15559 P42261
P52564 Q8T045
O43924 P05141
Q9UBV2 Q13155
Q13546 P22415
Q14155 Q9NTI5
P08651 Q60855
Q6IQ20 A2RRP1
Q8N201 Q08AE8
Q96K62 Q811U4
Q05195 Q06278
Q8IXM2 P11498
P32233 A4D1B5
P41250 P30876
Q96F86 O14595
Q9UPY8 Q96QC0
P18754 O00631
Q9NRL2 Q91W69
P81122 P24643
Q8IYD8 O94986
O43739 Q12874
P22091 Q16543
O35625 P28845
P01009 P17156
O14867 P07830
Q9UKV5 Q8NB16
P21549 Q9H0X9
Q9WUN2 Q15329
Q9CPX6 P27782
Q8C0J2 P40938
Q04199 O00203
P32776 Q16620
P05091 P70351
Q96RL1 Q969G6
Q08379 Q08945
Q08462 Q8NHZ8
Q8IUC6 Q9QX47
P62494 O14607
P17210 Q15370
Q12965 O08852
Q86XK2 Q9NQT8
P35398 Q96EP0
Q3U7R1 P12931
Q13084 Q9H6W3
P52272 Q9H0U6
Q9UPN7 Q12824
Q9NY74 O76031
O43521 P43355
O60942 O15243
Q07960 P08651
O14735 Q9UPY8
Q9C0C7 Q03519
O75436 P46100
P62820 P61956
P07737 Q9P2W9
Q15648 Q9BRJ2
P14324 Q9H9Q4
P28749 P32455
Q9Z2G6 O43491
Q13950 Q96QB1
Q14315 Q15291
Q96CN5 P62995
Q15276 Q9NR28
Q80WQ6 P54274
P22674 Q61188
Q9NR31 Q9UK80
Q8NFG4 Q12983
P35916 Q99942
P20839 Q13084
P54577 P35244
Q8IWZ3 Q86UQ8
P25705 P42225
Q16611 Q14188
Q8IXB1 Q96DE5
Q9NUG6 P04198
Q16778 P10721
O60784 P70351
P30101 P46933
Q7Z7H8 Q969G5
P33450 P46777
P97369 Q12996
O43395 Q99570
P31314 P63211
Q9GZX7 Q9NTG7
Q9BTP7 P31323
F4HZB2 Q71SY5
P35918 P31040
P09936 Q04724
P35228 A0FGR8
Q99683 P26368
P53667 P56159
P81274 Q5DW34
Q86V48 P63000
O95994 Q5SPL2
Q15120 P54259
Q6PAL8 P51532
Q8WXF7 Q12789
Q86UP2 Q13503
Q96I25 P49662
Q9D5L7 Q99708
Q8IWF2 Q8NFJ9
P49450 Q9HBL0
P21372 Q80TQ2
Q0JRZ9 Q9H6E5
Q64690 Q14188
Q86UQ8 O00139
Q9UL17 Q69YQ0
P60763 Q96QV6
P70444 P22227
Q3SYG4 Q9NVP2
Q3U4G3 Q7Z6J0
Q7Z3K3 P04488
P54105 Q70CQ3
O94972 Q03164
Q9Y385 Q16342
Q08752 Q9P1Q0
Q9JM54 P48023
Q9H0D6 Q9HC77
O96013 O00330
P78364 Q9H0E2
O88700 O75865
P14174 Q9I9A7
P20340 Q86X55
P62807 Q9NUB1
P50549 P35579
Q8WTX7 Q9BUH6
Q04650 Q9NZD4
P09038 Q14671
P53350 P25705
O95461 Q8IWE5
Q3UHD6 P39748
O88572 P19659
P21912 P70351
P52435 Q61411
Q86YC2 P70191
Q9UNQ0 P33176
Q03160 Q16594
Q14966 P00488
Q61026 Q5VU43
P49590 Q9UBW8
P53350 P58335
P06396 P31040
O75461 Q9P2W9
Q99700 P17947
P41250 Q15329
P41250 P49711
P51795 O08734
P52435 Q92608
Q9H7E2 Q6PAL8
Q8TF40 P18858
Q9Y2Q3 O00303
O75533 P01111
P62487 O95994
